"id","availability","condition","description","image_link","link","title","price","brand"
"trm84og6g","in stock","new","reading these words, hearing sweet sounds, simply living, - the blessings that grace bestows, asking nothing in return","http://www.glassybaby.com/site/images/product-images/grace-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/grace","grace | glassybaby","75 USD","glassybaby"
"82wk5swv1","in stock","new","the cat vaults onto the couch. your hand brushes softly his fragile head, and his spine dips and arches under your fingers. claws retract, tail curls, purr","http://www.glassybaby.com/site/images/product-images/purr-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/purr","purr | glassybaby","50 USD","glassybaby"
"g377qw689","in stock","new","sometimes the colorness is just so prettytastic that english wordage can’t even do; your heartbody just feels all kindfull within","http://www.glassybaby.com/site/images/product-images/kindfull-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/kindfull","kindfull | glassybaby","75 USD","glassybaby"
"8itfz4e1j","in stock","new","if you feel like your life is not your own, remember lady di. sometimes you must let the world see in if you want to let your light out","http://www.glassybaby.com/site/images/product-images/lady-di-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/lady-di","lady di | glassybaby","50 USD","glassybaby"
"v5x92igcs","in stock","new","""double tall nonfat latte,"" you order. an espresso machine froths noisily and steamed milk fluffs into your cup. the sounds to begin another beautiful day","http://www.glassybaby.com/site/images/product-images/latte-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/latte","latte | glassybaby","50 USD","glassybaby"
"fd8bx0dyy","in stock","new","for those who give the Seattle Sounders FC your full 90:now you can give them stoppage time.","http://www.glassybaby.com/site/images/product-images/rave-green-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/rave-green","rave green | glassybaby","75 USD","glassybaby"
"2dfi9ush8","in stock","new","light can play tricks in the dark. shadows flicker inside a pumpkin's carved grin, visual laughter, cackling like the ghosts running by after candy","http://www.glassybaby.com/site/images/product-images/pumpkin-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/pumpkin","pumpkin | glassybaby","50 USD","glassybaby"
"vud6dir2u","in stock","new","singers sing that it's all you need, and preachers preach that it is god; but lovers simply love","http://www.glassybaby.com/site/images/product-images/love-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/love","love | glassybaby","50 USD","glassybaby"
"j8ps02d63","in stock","new","aaa-choo! enviously watch a little bee bumble among the flowers. the best remedy for allergies is their very source: raw honey made from local pollen","http://www.glassybaby.com/site/images/product-images/pollen-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/pollen","pollen | glassybaby","50 USD","glassybaby"
"i2vgfzv4s","in stock","new","it was hot out when huck finn helped jim the slave on his way to freedom. the mississippi flowed south and the sky shone little boy blue","http://www.glassybaby.com/site/images/product-images/little-boy-blue-candle-holder-votive_main.png?resizeid=8&resizeh=800&resizew=800","http://www.glassybaby.com/little-boy-blue","little boy blue | glassybaby","50 USD","glassybaby"
